county,town,precinct,office,district,party,candidate,votes
Rutland,Rutland City,Rutland 5-1,Governor,NA,Democratic,Peter Shumlin,776
Rutland,Rutland City,Rutland 5-2,Governor,NA,Democratic,Peter Shumlin,682
Rutland,Rutland City,Rutland 5-3,Governor,NA,Democratic,Peter Shumlin,422
Rutland,Rutland City,Rutland 5-4,Governor,NA,Democratic,Peter Shumlin,582
Rutland,Rutland Town,NA,Governor,NA,Democratic,Peter Shumlin,674
Caledonia,Ryegate,NA,Governor,NA,Democratic,Peter Shumlin,183
Franklin,Salisbury,NA,Governor,NA,Democratic,Peter Shumlin,187
Franklin,Sandgate,NA,Governor,NA,Democratic,Peter Shumlin,93
Chittenden,Searsburg,NA,Governor,NA,Democratic,Peter Shumlin,15
Caledonia,Shaftsbury,NA,Governor,NA,Democratic,Peter Shumlin,944
Addison,Sharon,NA,Governor,NA,Democratic,Peter Shumlin,304
Bennington,Sheffield,NA,Governor,NA,Democratic,Peter Shumlin,88
Bennington,Shelburne,Chittenden 5-1,Governor,NA,Democratic,Peter Shumlin,"1,209"
Bennington,Shelburne,Chittenden 5-2,Governor,NA,Democratic,Peter Shumlin,819
Bennington,Sheldon,NA,Governor,NA,Democratic,Peter Shumlin,231
Windsor,Shoreham,NA,Governor,NA,Democratic,Peter Shumlin,258
Caledonia,Shrewsbury,NA,Governor,NA,Democratic,Peter Shumlin,249
Chittenden,S. Burlington,Chittenden 3-10,Governor,NA,Democratic,Peter Shumlin,980
Chittenden,S. Burlington,Chittenden 3-7,Governor,NA,Democratic,Peter Shumlin,983
Chittenden,S. Burlington,Chittenden 3-8,Governor,NA,Democratic,Peter Shumlin,"1,233"
Chittenden,S. Burlington,Chittenden 3-9,Governor,NA,Democratic,Peter Shumlin,771
Franklin,S. Hero,NA,Governor,NA,Democratic,Peter Shumlin,466
Addison,Springfield,Windsor 1-1,Governor,NA,Democratic,Peter Shumlin,14
Addison,Springfield,Windsor 1-2,Governor,NA,Democratic,Peter Shumlin,"1,329"
Rutland,St. Albans City,NA,Governor,NA,Democratic,Peter Shumlin,843
Chittenden,St. Albans Town,NA,Governor,NA,Democratic,Peter Shumlin,736
Grand Isle,St. George,NA,Governor,NA,Democratic,Peter Shumlin,121
Windsor,St. Johnsbury,NA,Governor,NA,Democratic,Peter Shumlin,871
Bennington,Stamford,NA,Governor,NA,Democratic,Peter Shumlin,140
Caledonia,Stannard,NA,Governor,NA,Democratic,Peter Shumlin,47
Addison,Starksboro,NA,Governor,NA,Democratic,Peter Shumlin,419
Windsor,Stockbridge,NA,Governor,NA,Democratic,Peter Shumlin,173
Lamoille,Stowe,NA,Governor,NA,Democratic,Peter Shumlin,900
Orange,Strafford,NA,Governor,NA,Democratic,Peter Shumlin,423
Windham,Stratton,NA,Governor,NA,Democratic,Peter Shumlin,28
Rutland,Sudbury,NA,Governor,NA,Democratic,Peter Shumlin,127
Bennington,Sunderland,NA,Governor,NA,Democratic,Peter Shumlin,213
Caledonia,Sutton,NA,Governor,NA,Democratic,Peter Shumlin,109
Franklin,Swanton,NA,Governor,NA,Democratic,Peter Shumlin,672
Orange,Thetford,NA,Governor,NA,Democratic,Peter Shumlin,829
Rutland,Tinmouth,NA,Governor,NA,Democratic,Peter Shumlin,133
Orange,Topsham,NA,Governor,NA,Democratic,Peter Shumlin,154
Windham,Townshend,NA,Governor,NA,Democratic,Peter Shumlin,288
Orleans,Troy,NA,Governor,NA,Democratic,Peter Shumlin,188
Orange,Tunbridge,NA,Governor,NA,Democratic,Peter Shumlin,320
Chittenden,Underhill,NA,Governor,NA,Democratic,Peter Shumlin,861
Addison,Vergennes,NA,Governor,NA,Democratic,Peter Shumlin,434
Windham,Vernon,NA,Governor,NA,Democratic,Peter Shumlin,181
Orange,Vershire,NA,Governor,NA,Democratic,Peter Shumlin,144
Essex,Victory,NA,Governor,NA,Democratic,Peter Shumlin,9
Washington,Waitsfield,NA,Governor,NA,Democratic,Peter Shumlin,517
Caledonia,Walden,NA,Governor,NA,Democratic,Peter Shumlin,216
Rutland,Wallingford,NA,Governor,NA,Democratic,Peter Shumlin,421
Addison,Waltham,NA,Governor,NA,Democratic,Peter Shumlin,126
Windham,Wardsboro,NA,Governor,NA,Democratic,Peter Shumlin,161
Washington,Warren,NA,Governor,NA,Democratic,Peter Shumlin,517
Orange,Washington,NA,Governor,NA,Democratic,Peter Shumlin,163
Washington,Waterbury,NA,Governor,NA,Democratic,Peter Shumlin,"1,197"
Caledonia,Waterford,NA,Governor,NA,Democratic,Peter Shumlin,167
Lamoille,Waterville,NA,Governor,NA,Democratic,Peter Shumlin,124
Windsor,Weathersfield,NA,Governor,NA,Democratic,Peter Shumlin,479
Rutland,Wells,NA,Governor,NA,Democratic,Peter Shumlin,146
Orange,W. Fairlee,NA,Governor,NA,Democratic,Peter Shumlin,104
Rutland,W. Haven,NA,Governor,NA,Democratic,Peter Shumlin,50
Rutland,W. Rutland,NA,Governor,NA,Democratic,Peter Shumlin,279
Windsor,W. Windsor,NA,Governor,NA,Democratic,Peter Shumlin,294
Orleans,Westfield,NA,Governor,NA,Democratic,Peter Shumlin,91
Chittenden,Westford,NA,Governor,NA,Democratic,Peter Shumlin,495
Windham,Westminster,Windham 4,Governor,NA,Democratic,Peter Shumlin,37
Windham,Westminster,Windham 5,Governor,NA,Democratic,Peter Shumlin,861
Orleans,Westmore,NA,Governor,NA,Democratic,Peter Shumlin,71
Windsor,Weston,NA,Governor,NA,Democratic,Peter Shumlin,180
Addison,Weybridge,NA,Governor,NA,Democratic,Peter Shumlin,279
Caledonia,Wheelock,NA,Governor,NA,Democratic,Peter Shumlin,114
Addison,Whiting,NA,Governor,NA,Democratic,Peter Shumlin,79
Windham,Whitingham,NA,Governor,NA,Democratic,Peter Shumlin,182
Orange,Williamstown,NA,Governor,NA,Democratic,Peter Shumlin,463
